id_magasin,enseigne,format,ville,latitude,longitude,date_ouverture,ca_annuel,nb_clients_mois,panier_moyen,surface_vente,effectif,population_zone_1km,densite_hab_km2,revenu_median_zone,age_moyen_zone,concurrents_500m,concurrents_1km,parking_places,distance_centre_ville,transport_score,zone_commerciale,mois,trimestre,magasin_id
MAG_001,SuperFrais,  Proximité  ,Marseille,43.321336,5.362887,2020-08-08,1010259.0,1598,52.68,200.0,7.0,35289.0,5294,26127,36.3,0,3,137,2.5,5,True,3,T3,
MAG_002,FamilyShop,Hypermarché,Marseille,43.273214,5.343209,2022-09-07,500000.0,789,52.81,200.0,6.0,81958.0,3876,21856,43.0,4,6,378,1.8,4,False,1,T4,
MAG_003,SuperFrais,Supermarché,Lyon,45.774443,4.737716,2022-02-20,500000.0,1547,61.44,200.0,7.0,17322.0,11094,33908,27.9,0,1,264,3.3,9,True,9,T1,
MAG_004,FamilyShop,Drive,Nice,43.746275,7.291106,2020-10-12,500000.0,3195,29.92,200.0,8.0,49568.0,6080,34040,36.7,0,5,280,4.3,9,False,10,  T2  ,
MAG_005,SuperFrais,Supermarché,Nantes,47.24179,-1.516794,2020-04-14,500000.0,857,48.62,200.0,8.0,19167.0,3604,26796,33.5,2,9,145,1.1,4,False,6,T2,
  MAG_006  ,MarchéPlus,Supermarché,Nantes,47.193312,-1.569981,2020-04-04,833461.0,1077,64.49,200.0,9.0,17880.0,4452,31688,33.5,1,2,282,1.3,9,True,2,T4,
  MAG_008  ,FamilyShop,Hypermarché,Bordeaux,44.816725,-0.586065,2020-04-09,500000.0,773,53.9,200.0,9.0,44380.0,5125,29735,37.8,2,8,236,6.4,3,True,9,  T3  ,
MAG_009,FamilyShop,Proximité,Nantes,47.200563,-1.525794,2021-01-02,610949.0,963,52.87,200.0,10.0,35289.0,5588,38911,44.2,1,4,189,8.1,5,True,12,T4,  nan  
MAG_010,SuperFrais,Supermarché,Marseille,43.311349,5.402452,2022-05-17,708081.0,1861,31.71,200.0,6.0,35289.0,1617,37349,34.1,3,7,243,5.1,9,True,4,T2,
MAG_012,BioNature,Supermarché,Montpellier,43.637229,3.929479,2021-09-10,500000.0,774,53.83,200.0,7.0,24498.0,3680,23896,34.2,4,7,337,0.7,2,False,12,T4,
MAG_013,FamilyShop,Supermarché,Marseille,43.297697,5.413396,2020-09-27,500000.0,730,57.08,200.0,7.0,35289.0,3641,38647,42.8,3,7,371,5.0,7,True,3,T2,
MAG_014,CityMarket,Proximité,Bordeaux,44.743784,-0.576921,2022-04-06,500000.0,1106,37.67,200.0,8.0,17593.0,8537,33071,33.7,3,4,194,0.4,7,True,11,  T2  ,
MAG_015,SuperFrais,Supermarché,Montpellier,43.588153,3.844534,2020-02-14,500000.0,653,63.81,200.0,9.0,55642.0,5715,17913,29.6,4,8,125,4.8,3,False,7,T3,
