transaction_id,date,magasin_id,montant,categorie,client_id
TXN_000001,2024-05-15,MAG_001,301.48,,
TXN_000002,29/01/2024,MAG_024,439.97,Électronique,CLIENT_0060
TXN_000003,02-03-2024,MAG_037,473.74,Alimentaire,CLIENT_0836
TXN_000004,18/01/2024,MAG_049,268.69,Textile,CLIENT_0676
TXN_000005,2024/05/01,MAG_036,86.74,Beauté,#N/A
TXN_000006,02/24/2024,MAG_035,378.86,Textile,CLIENT_0409
TXN_000007,20-06-2024,MAG_042,189.84,N/A,
TXN_000008,2024-01-31,MAG_016,116.23,Électronique,
TXN_000009,2024-05-30,MAG_036,118.91,Textile,CLIENT_0073
TXN_000010,06/10/2024,MAG_INEXISTANT_001,118.33,Alimentaire,NULL
TXN_000011,11/05/2024,MAG_016,142.85,Maison,CLIENT_0553
TXN_000012,2024/02/03,MAG_047,468.08,Beauté,n/a
TXN_000013,2024-03-03,MAG_031,404.71,Textile,null
TXN_000014,25-01-2024,MAG_INEXISTANT_007,180.38,Maison,CLIENT_0885
TXN_000015,2024-01-14,MAG_044,328.46,Alimentaire,CLIENT_0413
TXN_000016,2024/03/27,MAG_007,128.08,Textile,CLIENT_0460
TXN_000017,05/02/2024,MAG_028,95.83,Maison,CLIENT_0896
TXN_000018,2024-01-20,MAG_029,404.97,Beauté,
TXN_000019,13/01/2024,MAG_042,499.64,N/A,
TXN_000020,2024-05-04,MAG_031,110.8,Maison,#N/A
TXN_000021,07-04-2024,MAG_001,492.73,Électronique,CLIENT_0293
TXN_000022,18-04-2024,MAG_045,478.87,Beauté,  
TXN_000023,2024/02/18,MAG_019,112.76,Alimentaire,
TXN_000024,2024-05-18,MAG_004,375.25,Alimentaire,
TXN_000025,29/05/2024,MAG_031,253.91,Beauté,CLIENT_0059
TXN_000026,2024/05/10,MAG_006,426.41,Alimentaire,
TXN_000027,2024-01-18,MAG_044,431.6,Maison,CLIENT_0965
TXN_000028,2024/05/25,MAG_016,291.56,Alimentaire,null
TXN_000029,21/01/2024,MAG_027,330.4,Beuté,CLIENT_0686
TXN_000030,03/21/2024,MAG_INEXISTANT_004,136.48,Textile,CLIENT_0469
TXN_000031,21-03-2024,MAG_049,468.19,Alimentaire,NULL
TXN_000032,2024/05/24,MAG_007,41.26,Textile,CLIENT_0272
TXN_000033,02/03/2024,MAG_023,441.03,Textile,
TXN_000034,2024/02/10,MAG_029,417.7,Électronique,
TXN_000035,06/16/2024,MAG_034,8.87,Beauté,CLIENT_0955
TXN_000036,06/18/2024,MAG_007,469.77,Textile,CLIENT_0119
TXN_000037,28/01/2024,MAG_048,278.85,Électroniue,CLIENT_0735
TXN_000038,2024/03/28,MAG_014,345.31,Électronique,NULL
TXN_000039,03/05/2024,MAG_004,50.69,Maison,CLIENT_0046
TXN_000040,01/01/2024,MAG_022,386.7,Électronique,
TXN_000041,2024-04-23,MAG_036,354.31,Beauté,CLIENT_0115
TXN_000042,2024/01/20,MAG_INEXISTANT_003,275.07,Électronique,
TXN_000043,05/21/2024,MAG_010,217.74,null,CLIENT_0374
TXN_000044,2024-01-11,MAG_INEXISTANT_006,108.99,Textile,CLIENT_0363
TXN_000045,23/05/2024,MAG_027,487.05,Textile,CLIENT_0886
TXN_000046,11/02/2024,MAG_012,441.3,Alimentaire,CLIENT_0755
TXN_000047,03/26/2024,MAG_027,402.11,Textile,
TXN_000048,10-02-2024,MAG_045,58.51,Alimentaire,CLIENT_0228
TXN_000049,21/02/2024,MAG_030,178.08,Textile,CLIENT_0025
TXN_000050,2024-06-17,MAG_013,202.24,Électronique,CLIENT_0991
TXN_000051,2024/03/12,MAG_023,322.53,Maison,CLIENT_0340
TXN_000052,08/01/2024,MAG_008,439.13,Électronique,
TXN_000053,03/08/2024,MAG_003,58.66,Maison,#N/A
TXN_000054,2024-03-21,MAG_028,305.07,Beauté,CLIENT_0395
TXN_000055,2024-05-27,MAG_013,131.09,Maison,CLIENT_0533
TXN_000056,05/17/2024,MAG_INEXISTANT_004,185.29,Alimentaire,CLIENT_0639
TXN_000057,21-03-2024,MAG_043,424.77,Électroniqe,CLIENT_0335
TXN_000058,13-04-2024,MAG_045,151.35,Textilve,CLIENT_0694
TXN_000059,2024/02/14,MAG_040,286.71,Maison,
TXN_000060,2024/01/01,MAG_020,147.02,,CLIENT_0622
TXN_000061,16/06/2024,MAG_021,235.17,Maison,NULL
TXN_000062,05/01/2024,MAG_048,89.0,Alimentaire,CLIENT_0528
TXN_000063,18/06/2024,MAG_041,311.53,Alimentaire,CLIENT_0689
TXN_000064,2024-03-20,MAG_015,404.25,Textile,CLIENT_0048
TXN_000065,03-03-2024,MAG_031,307.58,Alimentaire,CLIENT_0425
TXN_000066,10-06-2024,MAG_037,101.25,Maison,n/a
TXN_000067,2024-04-12,MAG_016,78.05,Alimentaire,
TXN_000068,18-04-2024,MAG_015,92.06,Beauté,CLIENT_0052
TXN_000069,22-05-2024,MAG_016,459.15,Alimentaire,  
TXN_000070,2024/02/04,MAG_030,335.45,Beauté,null
TXN_000071,23-04-2024,MAG_040,408.43,Beauté,
TXN_000072,20-05-2024,MAG_029,449.12,Maison,CLIENT_0266
TXN_000073,04-03-2024,MAG_041,142.27,Beauté,CLIENT_0642
TXN_000074,02/03/2024,MAG_018,222.74,Électronique,
TXN_000075,2024-03-10,MAG_022,163.26,Beauté,CLIENT_0142
TXN_000076,08/02/2024,MAG_015,194.6,Textile,CLIENT_0066
TXN_000077,16-04-2024,MAG_027,168.79,#N/A,
TXN_000078,2024/01/16,MAG_014,417.28,,CLIENT_0969
TXN_000079,27-06-2024,MAG_002,429.08,Beauté,
TXN_000080,02-05-2024,MAG_001,471.66,Électronique,CLIENT_0874
TXN_000081,2024/04/17,MAG_035,375.02,Beauté,CLIENT_0920
TXN_000082,26-02-2024,MAG_032,113.61,Maison,
TXN_000083,09/04/2024,MAG_INEXISTANT_006,336.09,Maison,CLIENT_0861
TXN_000084,2024-04-29,MAG_009,490.46,Beauté,  
TXN_000085,2024-04-10,MAG_038,284.37,Alimentaire,null
TXN_000086,2024-04-19,MAG_009,434.09,NULL,
TXN_000087,04/07/2024,MAG_021,109.77,Électronique,CLIENT_0780
TXN_000088,04/07/2024,MAG_018,377.24,Maison,CLIENT_0855
TXN_000089,2024-01-21,MAG_031,14.59,Beauté,CLIENT_0975
TXN_000090,2024-03-30,MAG_015,326.82,Alimentaire,CLIENT_0973
TXN_000091,04/03/2024,MAG_013,420.42,Beauté,
TXN_000092,2024/03/02,MAG_INEXISTANT_003,-239.41,Alimentaire,CLIENT_0971
TXN_000093,25/02/2024,MAG_030,351.24,Électronique,CLIENT_0621
TXN_000094,2024/06/04,MAG_048,360.59,extile,CLIENT_0027
TXN_000095,20-03-2024,MAG_037,340.29,Maison,CLIENT_0965
TXN_000096,2024-02-20,MAG_005,298.09,Textile,null
TXN_000097,2024/03/18,MAG_044,302.2,Alimentaire,CLIENT_0802
TXN_000098,2024-01-11,MAG_023,268.71,Électronique,CLIENT_0519
TXN_000099,14-06-2024,MAG_022,11.26,Maison,  
TXN_000100,20/04/2024,MAG_024,319.61,Maison,CLIENT_0446
TXN_000101,2024/02/15,MAG_047,263.26,Électronique,CLIENT_0828
TXN_000102,05/17/2024,MAG_INEXISTANT_008,235.11,Beauté,CLIENT_0331
TXN_000103,03/03/2024,MAG_006,143.07,Maison,CLIENT_0769
TXN_000104,04/28/2024,MAG_037,307.11,Maison,null
TXN_000105,05/06/2024,MAG_021,95.01,Textile,CLIENT_0817
TXN_000106,03/07/2024,MAG_022,-143.43,Beauté,n/a
TXN_000107,03/01/2024,MAG_034,474.29,Alimentaire,CLIENT_0738
TXN_000108,14-04-2024,MAG_032,279.81,Textile,CLIENT_0662
TXN_000109,05/05/2024,MAG_029,397.5,Alimentaire,
TXN_000110,04/13/2024,MAG_045,125.44,Beauté,CLIENT_0485
TXN_000111,05/21/2024,MAG_034,175.16,Beauté,
TXN_000112,28/06/2024,MAG_030,139.1,Électronique,CLIENT_0124
TXN_000113,19/02/2024,MAG_021,64.18,Beauté,#N/A
TXN_000114,2024/02/25,MAG_048,-244.68,Beauté,
TXN_000115,06/01/2024,MAG_019,490.35,Textile,CLIENT_0233
TXN_000116,02/04/2024,MAG_012,154.62,Beauté,CLIENT_0281
TXN_000117,12-01-2024,MAG_004,278.91,Textile,CLIENT_0106
TXN_000118,04-01-2024,MAG_037,145.75,Maison,CLIENT_0349
TXN_000119,2024-02-17,MAG_004,129.98,N/A,CLIENT_0842
TXN_000120,2024-01-17,MAG_026,248.41,Beauté,CLIENT_0156
TXN_000121,08/02/2024,MAG_037,474.82,Alimentaire,
TXN_000122,2024/01/31,MAG_036,383.4,Beauté,
TXN_000123,07-06-2024,MAG_015,388.97,Maison,CLIENT_0931
TXN_000124,04/23/2024,MAG_020,430.78,#N/A,
TXN_000125,25/05/2024,MAG_040,34.81,Alimentaire,
TXN_000126,24/02/2024,MAG_017,331.91,null,CLIENT_0178
TXN_000127,21-05-2024,MAG_005,82.48,Maison,CLIENT_0706
TXN_000128,06/01/2024,MAG_031,149.17,Textile,
TXN_000129,13/03/2024,MAG_045,430.51,Alimentaire,CLIENT_0947
TXN_000130,08-03-2024,MAG_041,296.95,Textile,CLIENT_0118
TXN_000131,19/05/2024,MAG_015,325.58,Électronique,CLIENT_0074
TXN_000132,2024/01/16,MAG_011,397.35,Beauté,N/A
TXN_000133,14-03-2024,MAG_INEXISTANT_008,66.56,Électronique,NULL
TXN_000134,2024-03-10,MAG_033,272.29,Maisno,
TXN_000135,2024-04-20,MAG_048,164.55,Électronique,CLIENT_0094
TXN_000136,2024/02/28,MAG_044,418.8,Beauté,CLIENT_0974
TXN_000137,2024/01/06,MAG_049,337.78,Électronique,CLIENT_0042
TXN_000138,02/14/2024,MAG_031,261.89,Maison,
TXN_000139,2024-02-16,MAG_038,220.76,Maison,CLIENT_0482
TXN_000140,30/03/2024,MAG_027,169.99,NULL,CLIENT_0338
TXN_000141,2024/04/15,MAG_045,250.26,Maison,CLIENT_0038
TXN_000142,2024-04-26,MAG_006,160.69,Électronique,CLIENT_0994
TXN_000143,2024/04/13,MAG_033,413.34,Alimentaire,
TXN_000144,2024/04/15,MAG_004,97.85,Électronique,CLIENT_0775
TXN_000145,07/05/2024,MAG_041,223.81,Alimentaire,CLIENT_0274
TXN_000146,20-05-2024,MAG_009,464.2,,CLIENT_0125
TXN_000147,08/01/2024,MAG_041,306.39,Textile,CLIENT_0319
TXN_000148,21/05/2024,MAG_001,278.36,Alimentaire,CLIENT_0862
TXN_000149,30-01-2024,MAG_030,473.8,Textile,null
TXN_000150,15-03-2024,MAG_033,354.18,Maison,
TXN_000151,30-04-2024,MAG_016,231.11,Textile,CLIENT_0196
TXN_000152,2024-06-02,MAG_033,374.41,Textile,
TXN_000153,03/11/2024,MAG_050,396.05,n/a,CLIENT_0957
TXN_000154,05/09/2024,MAG_018,411.17,Électronique,CLIENT_0858
TXN_000155,30/05/2024,MAG_INEXISTANT_010,499.46,Maison,CLIENT_0458
TXN_000156,2024/05/17,MAG_031,175.84,Beauté,CLIENT_0387
TXN_000157,2024/04/26,MAG_021,435.45,Textile,CLIENT_0393
TXN_000158,29/02/2024,MAG_050,208.33,élEcTRoNiQuE,CLIENT_0420
TXN_000159,06/16/2024,MAG_INEXISTANT_003,42.04,Électronique,CLIENT_0639
TXN_000160,2024/06/26,MAG_026,326.67,Électronique,CLIENT_0390
TXN_000161,2024/03/22,MAG_041,360.77,Maison,CLIENT_0037
TXN_000162,07/06/2024,MAG_005,121.21,Électronique,n/a
